basis,keep_ratio,mean,std
block_dct_8,0.05,17.19585076084046,1.9090981565443914
block_dct_8,0.1,20.699906774713728,2.527791187320875
block_dct_8,0.15,23.723369498608257,3.1050812071195955
block_dct_8,0.2,26.62861959968122,3.727185718291822
block_fft_8,0.05,15.968997800523105,1.6803219507169747
block_fft_8,0.1,18.742256507411373,2.151826076701955
block_fft_8,0.15,21.08764326732091,2.6548420395382526
block_fft_8,0.2,23.343528413483696,3.254975391770049
block_pca_8,0.05,16.953232295251883,1.6792294359070807
block_pca_8,0.1,20.461709443076586,2.238502939623454
block_pca_8,0.15,23.34075941441987,2.703289793409845
block_pca_8,0.2,25.952415996420335,3.0475921803212285
dct,0.05,16.13068743812232,1.2494509758016845
dct,0.1,18.44494869657143,1.3085204745097352
dct,0.15,20.32560731855238,1.3525615935587376
dct,0.2,22.031770660900882,1.383940092017235
entangled_qft,0.05,16.71723637946462,1.9093018750160868
entangled_qft,0.1,19.57784452634248,2.2993123821474124
entangled_qft,0.15,22.049153725515307,2.658116274087382
entangled_qft,0.2,24.353309704311922,3.087310393683197
fft,0.05,15.263047770706557,1.1784232474412315
fft,0.1,17.31506905880222,1.2545186780668045
fft,0.15,19.011382267497915,1.3245321683424092
fft,0.2,20.561865354049814,1.3924862981054622
pca,0.05,17.782318380811184,1.511832033173255
pca,0.1,20.69478585128487,1.6499196591767629
pca,0.15,23.11877828724355,1.7644126914951463
pca,0.2,25.299278062074663,1.8331200404726098
